Producto;producto_base;tipo_producto;marca;presentacion;tipo_envoltorio;presentacion_valor;presentacion_unidad;especificacion;nombre_comercial;canasta_producto;canasta_cantidad
Cerveza Zillertal Botella 1 lt.;Cerveza Zillertal;Cerveza;Zillertal;Envase 1 lt.;Envase;1.0;LT;;Cerveza ;;
cerveza rubia Patricia (botella 960 ml.);cerveza rubia Patricia;Cerveza;Patricia;Envase 960 ml.;Envase;960.0;ML;Rubia;Cerveza Rubia;;
cerveza rubia Pilsen (botella 960 ml.);cerveza rubia Pilsen;Cerveza;Pilsen;Envase 960 ml.;Envase;960.0;ML;Rubia;Cerveza Rubia;;
cerveza rubia Zillertal (botella 1 lt.);cerveza rubia Zillertal;Cerveza;Zillertal;Envase 1 lt.;Envase;1.0;LT;Rubia;Cerveza Rubia;;
Champú Dove, 400 ml.;Champú Dove;Champu;Dove;Envase 400 ml.;Envase;400.0;ML;;Champu ;;
Champú Fructis Envase 350 ml.;Champú Fructis;Champu;Fructis;Envase 350 ml.;Envase;350.0;ML;;Champu ;;
Champú Pantene, 400 ml.;Champú Pantene;Champu;Pantene;Envase 400 ml.;Envase;400.0;ML;;Champu ;;
Champú Sedal Envase 350 ml.;Champú Sedal;Champu;Sedal;Envase 350 ml.;Envase;350.0;ML;;Champu ;;
Champú Suave Envase 930 ml.;Champú Suave;Champu;Suave;Envase 930 ml.;Envase;930.0;ML;;Champu ;;
chorizo suelto Cattivelli-extra (1 kg.);chorizo suelto Cattivelli-extra;Chorizo;Cattivelli;1 kg.;Para Empaquetar;1.0;KG;suelto Extra;Chorizo suelto Extra;;
chorizo suelto Centenario-extra (1 kg.);chorizo suelto Centenario-extra;Chorizo;Centenario;1 kg.;Para Empaquetar;1.0;KG;suelto Extra;Chorizo suelto Extra;;
chorizo suelto La familia - hilo amarillo (1 kg.);chorizo suelto La familia - hilo amarillo;Chorizo;La Familia;1 kg.;Para Empaquetar;1.0;KG;Hilo Amarillo;Chorizo Hilo Amarillo;;
Chorizos mezcla sueltos - Cattivelli - Extra 1 kg.;Chorizos mezcla sueltos - Cattivelli - Extra;Chorizo;Cattivelli;1 kg.;Para Empaquetar;1.0;KG;mezcla sueltos Extra;Chorizo mezcla sueltos Extra;;
Chorizos mezcla sueltos - Centenario - Extra 1 kg.;Chorizos mezcla sueltos - Centenario - Extra;Chorizo;Centenario;1 kg.;Para Empaquetar;1.0;KG;mezcla sueltos Extra;Chorizo mezcla sueltos Extra;;
Chorizos mezcla sueltos - La Familia - Hilo amarillo 1 kg.;Chorizos mezcla sueltos - La Familia - Hilo amarillo;Chorizo;La Familia;1 kg.;Para Empaquetar;1.0;KG;mezcla sueltos Hilo Amarillo;Chorizo mezcla sueltos Hilo Amarillo;;
Cinta adhesiva Ready Plast 1 unidad;Cinta adhesiva Ready Plast;Cinta adhesiva;Ready Plast;Empaque 1 Unidad;Empaque;1.0;UNIDADES;;Cinta adhesiva ;;
cinta adhesiva leuco Ready plast (1 unidad);cinta adhesiva leuco Ready plast;Cinta adhesiva;Ready Plast;Empaque 1 Unidad;Empaque;1.0;UNIDADES;leuco;Cinta adhesiva leuco;;
